movie_id,title,directors,starring,release_year,mpaa_rating
1,Totally Killer,Nahnatchka Khan,"Kiernan Shipka,Olivia Holt,Julie Bowen",2023,R
2,Guy Ritchie's The Covenant,Guy Ritchie,"Jake Gyllenhaal,Dar Salim,Antony Starr",2023,R
3,A Million Miles Away,Alejandra Márquez Abella,"Michael Peña,Rosa Salazar",2023,PG
4,Kelce,Don Argott,"Jason Kelce,Travis Kelce,Kylie Kelce,Connor Barwin",2023,Não classificado
5,Despicable Me 3,"Pierre Coffin,Kyle Balda","Steve Carell,Kristen Wiig,Trey Parker",2017,PG
6,Those Who Wish Me Dead,Taylor Sheridan,"Angelina Jolie,Nicholas Hoult,Jon Bernthal",2021,R
7,Renfield,Chris McKay,"Nicholas Hoult,Nicolas Cage,Awkwafina",2023,R
8,The Proposal,Anne Fletcher,"Betty White,Sandra Bullock,Ryan Reynolds",2009,PG-13
9,Black Adam,Jaume Collet-Serra,"Dwayne Johnson,Aldis Hodge,Pierce Brosnan",2022,PG-13
10,A Thousand and One,A.V. Rockwell,"Teyana Taylor,Will Catlett,Josiah Cross,Aven Courtney",2023,R
11,Pokémon Detective Pikachu,Rob Letterman,"Ryan Reynolds,Justice Smith,Kathryn Newton",2019,PG
12,Top Gun: Maverick,Joseph Kosinski,"Miles Teller,Val Kilmer,Tom Cruise",2022,PG-13
13,DC League of Super-Pets,Jared Stern,"Dwayne Johnson,Kevin Hart,Kate Mckinnon",2022,PG
14,Aquaman,James Wan,"Jason Momoa,Amber Heard,Patrick Wilson",2018,PG-13
15,Dungeons & Dragons: Honor Among Thieves,"Jonathan Goldstein,John Francis Daley","Chris Pine,Michelle Rodriguez,Regé-Jean Page",2023,PG-13
16,Mechanic: Resurrection,Dennis Gansel,"Jason Statham,Jessica Alba,Tommy Lee Jones",2016,R
17,The Suicide Squad (2021),James Gunn,"Margot Robbie,Idris Elba,John Cena,Joel Kinnaman",2021,R
18,The Batman,Matt Reeves,"Robert Pattinson,Zoë Kravitz,Jeffrey Wright",2022,PG-13
19,F9: The Fast Saga,Justin Lin,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson",2021,PG-13
20,Sitting In Bars With Cake,Trish Sie,"Yara Shahidi,Odessa A’zion,Bette Midler",2023,PG-13
21,The Other Woman,Nick Cassavetes,"Cameron Diaz,Leslie Mann,Kate Upton",2014,PG-13
22,Twilight,Catherine Hardwicke,"Kristen Stewart,Robert Pattinson,Billy Burke",2008,Não classificado
